pair_idx,scene_name,sequence_name,split_a,split_b,rel_a,rel_b,selected_variant,yaw_diff_deg,pitch_diff_deg,geodesic_rot_deg,baseline,D_total,D_med,D_bias,rot_err_deg,trans_dir_err_deg
78,GreatCourt,seq5,,,GreatCourt/seq5/frame00255.png,GreatCourt/seq3/frame00507.png,v2_B2A_p1_s1,52.092967,5.829741,52.890738,nan,263.6404294748627,32.011398071533996,231.62903140332867,2.2327492726028044,18.03373153901035
79,GreatCourt,seq4,,,GreatCourt/seq4/frame00128.png,GreatCourt/seq2/frame00234.png,v3_B2A_p2_s2,53.06553,1.13377,53.431314,nan,5.462052849674777,2.258532367979446,3.2035204816953313,6.113430932106179,78.14646598071482
80,Street,img,,,Street/img/image2_002337.png,Street/img/image2_002435.png,v0_A2B_p1_s1,54.196474,1.269042,54.909906,nan,23.599253781001956,18.877759880625863,4.721493900376092,2.8163874324251896,nan
81,Street,img_east,,,Street/img_east/image_east_0438.png,Street/img/image2_000432.png,v3_B2A_p2_s2,55.167783,0.031233,57.440954,nan,58.088182870621736,12.149845810607506,45.938337060014234,5.587472253796389,nan
82,GreatCourt,seq1,,,GreatCourt/seq1/frame00334.png,GreatCourt/seq3/frame00445.png,v2_B2A_p1_s1,61.246602,2.006892,61.281141,nan,78.2877582158458,54.80642368469415,23.48133453115164,179.1892612927311,50.735929585263925
83,Street,img_north,,,Street/img_north/image_north_1_0428.png,Street/img_east/image_east_0383.png,v3_B2A_p2_s2,64.882149,0.208388,64.884406,nan,16.625817247554682,10.494452557689689,6.131364689864994,1.5788631751864364,nan
84,GreatCourt,seq5,,,GreatCourt/seq5/frame00318.png,GreatCourt/seq1/frame00240.png,v2_B2A_p1_s1,52.932312,6.026303,53.288703,nan,48.82319722787005,4.445957641007036,44.37723958686301,2.5934745177358907,71.90305692002934
85,GreatCourt,seq4,,,GreatCourt/seq4/frame00045.png,GreatCourt/seq3/frame00482.png,v3_B2A_p2_s2,52.680637,0.509147,52.96522,nan,36.50211757055655,14.808975874607992,21.693141695948558,95.30723786274207,56.87252631601707
86,Street,img,,,Street/img/image2_000208.png,Street/img/image2_000188.png,v3_B2A_p2_s2,59.839877,0.231768,59.847664,nan,48.925231537015165,23.31391945293945,25.611312084075713,1.1086514023274516,nan
87,Street,img_east,,,Street/img_east/image_east_0226.png,Street/img/image2_001299.png,v0_A2B_p1_s1,55.836578,7.881368,56.519123,nan,11.375579259617142,1.8842936402635302,9.491285619353611,4.688520663005594,nan
88,GreatCourt,seq1,,,GreatCourt/seq1/frame00039.png,GreatCourt/seq5/frame00264.png,v1_A2B_p2_s2,50.531646,1.568173,50.60999,nan,12.703627725272293,4.604278471437054,8.09934925383524,1.4686693703790934,37.146856105709915
89,Street,img_north,,,Street/img_north/image_north_1_0517.png,Street/img/image2_000300.png,v0_A2B_p1_s1,60.424118,1.95899,60.530406,nan,44.023678690547015,13.993101049713996,30.030577640833023,4.448572064946668,nan
90,GreatCourt,seq5,,,GreatCourt/seq5/frame00583.png,GreatCourt/seq3/frame00145.png,v3_B2A_p2_s2,52.094643,2.772649,52.500639,nan,3.057892092164033,2.0468551446069707,1.0110369475570624,167.95799058764158,67.35356162730528
