pair_idx,pair_dir,selected_variant,interpose_RE_deg,interpose_TE_deg,pair_only_RE_deg,pair_only_TE_deg,delta_RE_deg_inter_minus_pair,delta_TE_deg_inter_minus_pair
73,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00073_ec305787b700,v0_A2B_p1_s1,0.7578888828807644,2.4061621496560273,nan,nan,nan,nan
74,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00074_d3812aad5382,v3_B2A_p2_s2,112.72914275048481,74.46120514987462,nan,nan,nan,nan
75,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00075_ed16328235c6,v1_A2B_p2_s2,6.2896766920191585,4.310158020902681,nan,nan,nan,nan
76,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00076_d1b3a0b37acc,v1_A2B_p2_s2,1.1851471022313833,1.6934850491656894,nan,nan,nan,nan
77,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00077_cbd44beb04f9,v1_A2B_p2_s2,0.4376378328023887,0.7923898577013531,nan,nan,nan,nan
78,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00078_2f3e1c0f688c,v3_B2A_p2_s2,5.645300039239593,2.4074929238175677,nan,nan,nan,nan
79,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00079_444da1b4a3f1,v2_B2A_p1_s1,6.848337354117865,45.41075933414998,nan,nan,nan,nan
80,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00080_3b7529dcccf7,v2_B2A_p1_s1,0.29603979179924905,2.5088512385958706,nan,nan,nan,nan
81,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00081_374ffd0c5ff8,v3_B2A_p2_s2,1.5267976813261084,4.595488877297911,nan,nan,nan,nan
82,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00082_9641a1ed7963,v1_A2B_p2_s2,2.33702355655264,1.9442624620217188,nan,nan,nan,nan
83,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00083_a62f9a1c6362,v1_A2B_p2_s2,2.406102359529276,0.2466946487734491,nan,nan,nan,nan
