pair_idx,scene_name,sequence_name,split_a,split_b,rel_a,rel_b,yaw_diff_deg,pitch_diff_deg,geodesic_rot_deg,baseline,rot_err_deg,trans_dir_err_deg
102,Street,img_east,,,Street/img_east/image_east_0136.png,Street/img/image2_001840.png,54.930471,1.680238,54.998079,nan,3.3283982873500157,nan
103,GreatCourt,seq1,,,GreatCourt/seq1/frame00035.png,GreatCourt/seq5/frame00267.png,62.109864,3.959531,62.225271,nan,9.502764492726149,14.471076206620062
104,Street,img_north,,,Street/img_north/image_north_2_0167.png,Street/img_east/image_east_0145.png,62.171407,4.158657,62.368559,nan,62.36855925536413,nan
105,GreatCourt,seq5,,,GreatCourt/seq5/frame00354.png,GreatCourt/seq1/frame00201.png,62.075933,5.576674,62.740576,nan,19.8003052969787,55.366748084970254
106,Street,img,,,Street/img/image2_000765.png,Street/img_south/image_south_1_0250.png,50.930364,4.801759,51.186542,nan,4.453344299496364,nan
107,Street,img_east,,,Street/img_east/image_east_0475.png,Street/img/image2_000313.png,63.3848,4.724591,63.667676,nan,3.7178420374930075,nan
108,GreatCourt,seq1,,,GreatCourt/seq1/frame00404.png,GreatCourt/seq5/frame00201.png,52.106256,4.635152,52.600327,nan,6.582644198900722,16.03455290818344
109,Street,img_north,,,Street/img_north/image_north_1_0540.png,Street/img/image2_000130.png,50.262685,1.972413,50.514664,nan,6.933341283468992,nan
110,GreatCourt,seq5,,,GreatCourt/seq5/frame00372.png,GreatCourt/seq1/frame00184.png,64.643698,13.395971,65.950531,nan,4.512907004252045,35.99442394659638
111,Street,img,,,Street/img/image2_001618.png,Street/img/image2_001717.png,52.064813,2.097366,52.320595,nan,2.6204017879115886,nan
112,Street,img_east,,,Street/img_east/image_east_0181.png,Street/img_north/image_north_1_0244.png,62.270537,8.998063,62.862644,nan,2.981778467378471,nan
113,GreatCourt,seq1,,,GreatCourt/seq1/frame00545.png,GreatCourt/seq5/frame00474.png,60.720658,0.157857,61.397269,nan,5.991723215303331,37.010569507255234
114,Street,img_north,,,Street/img_north/image_north_1_0425.png,Street/img_east/image_east_0381.png,61.178019,0.483601,61.192391,nan,5.105946247221957,nan
115,GreatCourt,seq5,,,GreatCourt/seq5/frame00372.png,GreatCourt/seq5/frame00380.png,63.331354,1.892203,64.430287,nan,35.93330168104022,70.30685781858224
116,Street,img,,,Street/img/image2_001783.png,Street/img_east/image_east_0126.png,50.658811,7.695734,53.878013,nan,0.9929032749525287,nan
117,Street,img_east,,,Street/img_east/image_east_0410.png,Street/img/image2_000541.png,62.691284,5.365234,63.209952,nan,63.2099524600171,nan
118,GreatCourt,seq1,,,GreatCourt/seq1/frame00036.png,GreatCourt/seq5/frame00266.png,60.059344,0.928932,60.066334,nan,4.959057169640766,17.704156250995986
119,Street,img_north,,,Street/img_north/image_north_2_0206.png,Street/img_east/image_east_0181.png,61.495959,4.699511,61.925886,nan,1.8021862330235452,nan
120,GreatCourt,seq5,,,GreatCourt/seq5/frame00316.png,GreatCourt/seq3/frame00370.png,56.008208,0.002468,56.696145,nan,56.69613291848323,180.0
121,Street,img,,,Street/img/image2_000927.png,Street/img_north/image_north_1_0376.png,59.750108,2.650937,59.846188,nan,1.7710360484543872,nan
122,Street,img_east,,,Street/img_east/image_east_0524.png,Street/img/image2_000031.png,54.83316,2.026068,55.423445,nan,4.9509704138085215,nan
123,GreatCourt,seq1,,,GreatCourt/seq1/frame00094.png,GreatCourt/seq3/frame00239.png,62.626723,8.308694,63.653868,nan,160.51440331057728,82.480264032283
124,Street,img_north,,,Street/img_north/image_north_1_0428.png,Street/img_east/image_east_0384.png,63.692277,4.76367,63.872095,nan,2.1543184442863494,nan
125,GreatCourt,seq5,,,GreatCourt/seq5/frame00350.png,GreatCourt/seq3/frame00337.png,50.692406,2.715122,51.398654,nan,5.160700703835194,74.44398837336026
126,Street,img,,,Street/img/image2_001210.png,Street/img_north/image_north_1_0292.png,60.11339,5.274776,60.370012,nan,5.2037016540447505,nan
127,Street,img_east,,,Street/img_east/image_east_0136.png,Street/img/image2_001839.png,54.420935,0.493151,54.65858,nan,1.8321671650315696,nan
