pair_idx,object_id,scene_a,scene_b,rel_a,rel_b,yaw_diff_deg,rot_err_deg,trans_dir_err_deg
49,ice_cream_cart_showpiece,multiview-04-pixel_6pro,multiview-04-pixel_6pro,ice_cream_cart_showpiece/multiview-04-pixel_6pro/images/016.jpg,ice_cream_cart_showpiece/multiview-04-pixel_6pro/images/017.jpg,66.073608,4.1285662551367635,7.475239570720925
50,keywest_showpiece_s,multiview-03-pixel_6pro,multiview-03-pixel_6pro,keywest_showpiece_s/multiview-03-pixel_6pro/images/020.jpg,keywest_showpiece_s/multiview-03-pixel_6pro/images/024.jpg,56.530774,2.8889375578692436,3.6446796793538176
51,paper_weight_flowers_showpiece,multiview-02-pixel_6pro,multiview-02-pixel_6pro,paper_weight_flowers_showpiece/multiview-02-pixel_6pro/images/016.jpg,paper_weight_flowers_showpiece/multiview-02-pixel_6pro/images/017.jpg,68.122721,4.4567942665609825,4.442282817615125
52,pumpkin_showpiece_s,multiview-02-pixel_6pro,multiview-02-pixel_6pro,pumpkin_showpiece_s/multiview-02-pixel_6pro/images/017.jpg,pumpkin_showpiece_s/multiview-02-pixel_6pro/images/018.jpg,80.005202,3.7650007903076395,7.211875979538784
53,remote_control_toy_car_s,multiview-00-pixel_4a,multiview-00-pixel_4a,remote_control_toy_car_s/multiview-00-pixel_4a/images/021.jpg,remote_control_toy_car_s/multiview-00-pixel_4a/images/022.jpg,60.351562,2.327666340604455,0.3732472931082452
54,schleich_african_black_rhino,multiview-09-canon_t4i,multiview-09-canon_t4i,schleich_african_black_rhino/multiview-09-canon_t4i/images/028.jpg,schleich_african_black_rhino/multiview-09-canon_t4i/images/032.jpg,86.720118,13.332833883665154,13.2227760246555
55,schleich_bald_eagle,multiview-10-canon_t4i,multiview-10-canon_t4i,schleich_bald_eagle/multiview-10-canon_t4i/images/020.jpg,schleich_bald_eagle/multiview-10-canon_t4i/images/027.jpg,85.861325,6.984370836103765,5.079752997025442
56,schleich_hereford_bull,multiview-00-ipad_4,multiview-00-ipad_4,schleich_hereford_bull/multiview-00-ipad_4/images/012.jpg,schleich_hereford_bull/multiview-00-ipad_4/images/013.jpg,51.031617,4.366239560285659,8.441061328957565
57,schleich_lion_action_figure,multiview-11-ipad_5,multiview-11-ipad_5,schleich_lion_action_figure/multiview-11-ipad_5/images/029.jpg,schleich_lion_action_figure/multiview-11-ipad_5/images/031.jpg,53.983451,4.5522665031369,8.874096916510489
58,schleich_spinosaurus_action_figure,multiview-10-pixel_7,multiview-10-pixel_7,schleich_spinosaurus_action_figure/multiview-10-pixel_7/images/040.jpg,schleich_spinosaurus_action_figure/multiview-10-pixel_7/images/045.jpg,61.834407,3.2928122573979874,2.955930264546209
59,school_bus,multiview-10-pixel_5,multiview-10-pixel_5,school_bus/multiview-10-pixel_5/images/032.jpg,school_bus/multiview-10-pixel_5/images/033.jpg,55.249221,7.117756168281856,4.151155880733054
60,soldier_wood_showpiece,multiview-02-pixel_6pro,multiview-02-pixel_6pro,soldier_wood_showpiece/multiview-02-pixel_6pro/images/023.jpg,soldier_wood_showpiece/multiview-02-pixel_6pro/images/024.jpg,71.549185,3.809836109911408,2.6845483018485443
61,steps_small_showpiece,multiview-00-pixel_4a,multiview-00-pixel_4a,steps_small_showpiece/multiview-00-pixel_4a/images/016.jpg,steps_small_showpiece/multiview-00-pixel_4a/images/019.jpg,80.15183,5.604501090939849,3.4028749145397055
