pair_idx,object_id,scene_a,scene_b,rel_a,rel_b,yaw_diff_deg,rot_err_deg,trans_dir_err_deg
224,schleich_lion_action_figure,multiview-08-ipad_5,multiview-08-ipad_5,schleich_lion_action_figure/multiview-08-ipad_5/images/028.jpg,schleich_lion_action_figure/multiview-08-ipad_5/images/030.jpg,59.441187,5.323484076719358,3.9454919600571223
225,schleich_spinosaurus_action_figure,multiview-10-ipad_5,multiview-10-ipad_5,schleich_spinosaurus_action_figure/multiview-10-ipad_5/images/042.jpg,schleich_spinosaurus_action_figure/multiview-10-ipad_5/images/049.jpg,85.253053,4.215428961949371,2.8229926428885186
226,school_bus,multiview-12-ipad_5,multiview-12-ipad_5,school_bus/multiview-12-ipad_5/images/028.jpg,school_bus/multiview-12-ipad_5/images/031.jpg,74.483422,2.4826840491313904,1.8703583581900214
227,soldier_wood_showpiece,multiview-04-pixel_6pro,multiview-04-pixel_6pro,soldier_wood_showpiece/multiview-04-pixel_6pro/images/023.jpg,soldier_wood_showpiece/multiview-04-pixel_6pro/images/024.jpg,89.011347,0.8280107853299771,1.0994539051074423
228,steps_small_showpiece,multiview-04-pixel_6pro,multiview-04-pixel_6pro,steps_small_showpiece/multiview-04-pixel_6pro/images/016.jpg,steps_small_showpiece/multiview-04-pixel_6pro/images/017.jpg,84.321581,3.1434111599826524,3.142448231750061
229,tractor_green_showpiece,multiview-04-pixel_6pro,multiview-04-pixel_6pro,tractor_green_showpiece/multiview-04-pixel_6pro/images/017.jpg,tractor_green_showpiece/multiview-04-pixel_6pro/images/018.jpg,83.255361,1.9301442847106176,1.5659796760168478
230,tumbler_air_balloon,multiview-02-pixel_6pro,multiview-02-pixel_6pro,tumbler_air_balloon/multiview-02-pixel_6pro/images/016.jpg,tumbler_air_balloon/multiview-02-pixel_6pro/images/019.jpg,62.062925,2.8558869155809377,2.0288809406894703
231,water_gun_toy_white,multiview-04-pixel_6pro,multiview-04-pixel_6pro,water_gun_toy_white/multiview-04-pixel_6pro/images/016.jpg,water_gun_toy_white/multiview-04-pixel_6pro/images/019.jpg,79.112821,3.286829522559112,3.024744070096079
232,water_gun_toy_yellow,multiview-04-pixel_6pro,multiview-04-pixel_6pro,water_gun_toy_yellow/multiview-04-pixel_6pro/images/015.jpg,water_gun_toy_yellow/multiview-04-pixel_6pro/images/016.jpg,72.760366,7.574547449701591,5.331069808667405
233,weisshai_great_white_shark,multiview-07-sony_a7iv,multiview-07-sony_a7iv,weisshai_great_white_shark/multiview-07-sony_a7iv/images/031.jpg,weisshai_great_white_shark/multiview-07-sony_a7iv/images/036.jpg,89.704971,2.762682506248765,8.167835480429643
234,3d_dollhouse_sink,multiview-07-canon_t4i,multiview-07-canon_t4i,3d_dollhouse_sink/multiview-07-canon_t4i/images/036.jpg,3d_dollhouse_sink/multiview-07-canon_t4i/images/039.jpg,66.86043,4.496373511284292,2.9715965436047345
235,bottle_vitamin_d_tablets,multiview-02-pixel_6pro,multiview-02-pixel_6pro,bottle_vitamin_d_tablets/multiview-02-pixel_6pro/images/021.jpg,bottle_vitamin_d_tablets/multiview-02-pixel_6pro/images/022.jpg,77.321869,4.47320486422583,5.004002039150614
236,box_multi_door_colored,multiview-03-pixel_6pro,multiview-03-pixel_6pro,box_multi_door_colored/multiview-03-pixel_6pro/images/020.jpg,box_multi_door_colored/multiview-03-pixel_6pro/images/023.jpg,59.772634,1.3189887107472589,0.565699465292756
237,bunny_racer,multiview-10-canon_t4i,multiview-10-canon_t4i,bunny_racer/multiview-10-canon_t4i/images/030.jpg,bunny_racer/multiview-10-canon_t4i/images/035.jpg,87.81482,2.4336240301882754,2.1046433176918677
238,can_kernel_corn,multiview-02-pixel_6pro,multiview-02-pixel_6pro,can_kernel_corn/multiview-02-pixel_6pro/images/020.jpg,can_kernel_corn/multiview-02-pixel_6pro/images/023.jpg,55.082965,2.576997646665317,1.0926852138814596
239,chicken_racer,multiview-13-pixel_5,multiview-13-pixel_5,chicken_racer/multiview-13-pixel_5/images/027.jpg,chicken_racer/multiview-13-pixel_5/images/030.jpg,69.426365,0.5285797667374392,1.907203758061853
240,circo_fish_toothbrush_holder_14995988,multiview-15-pixel_7,multiview-15-pixel_7,circo_fish_toothbrush_holder_14995988/multiview-15-pixel_7/images/133.jpg,circo_fish_toothbrush_holder_14995988/multiview-15-pixel_7/images/138.jpg,88.601884,2.5297950693230784,0.6542460335198533
